num_obs,num_females,num_males,p_alive,p_alive_females,p_alive_males,mortality_HRs(F:M),at_risk_females,at_risk_males,mean_U_at_risk_females,mean_U_at_risk_males,inc_cases_females,inc_cases_males,dem_cases_females,dem_cases_males,PY_females,PY_males,dem_prob_females,dem_prob_males,sim_rates,sim_rates_females,sim_rates_males,IRRs(F:M),dem_HRs(F:M)
99678.49,50823.7,48854.79,0.9733479025725876,0.979437451665841,0.967012768772776,0.6192993523898123,50823.7,48854.79,-1.8736862717358104e-4,-5.711800938292641e-4,276.37,264.75,276.37,264.75,251293.9780782202,240023.29204426258,0.005437720007590133,0.005418937076975783,1.1013899999999999,1.0997799999999998,1.10298,0.9967534913699405,0.9923309706951429
NA,NA,NA,0.9338571386530988,0.9515813100225485,0.9154189417369903,0.5261689071303085,49503.18,46979.98,-0.00356172700958361,-0.003970233241314727,387.04,358.35,662.5,621.58,243667.95522308824,228293.9544973375,0.013308737217383331,0.013157019512349676,1.5793599999999999,1.5883900000000006,1.5697500000000004,1.0120940589762397,1.0030864689181334
NA,NA,NA,0.8765172786457681,0.9130250179346914,0.8385382668563858,0.47146159553258005,47709.86,44119.11,-0.01151890064989314,-0.012045903606145712,478.94,421.81,1131.97,1025.28,233273.92257448268,210846.8860286046,0.02340557831535733,0.022925642549107353,2.02821,2.0531200000000007,2.0005699999999993,1.0266376312736525,1.010715441079167
NA,NA,NA,0.7932376265822079,0.8572589363076127,0.7266364792023061,0.43997258572919246,45300.93,39999.31,-0.024153341257439044,-0.024904799168238054,739.07,614.48,1841.47,1581.76,218849.94638484248,185785.2897525113,0.03968354961570699,0.03861136568055125,3.34513,3.37701,3.3075500000000004,1.0210357610592302,0.9947224705283919
NA,NA,NA,0.6751470598858478,0.7718014779211724,0.574597028104658,0.44726819627840114,41804.09,34065.03,-0.04545530494823174,-0.046259174992468746,1475.73,1089.41,3240.73,2524.02,196829.7111535897,150622.34126382935,0.07438091302597298,0.07110085289639943,7.382729999999998,7.49755,7.232769999999999,1.036674389750117,0.9977540275844596
NA,NA,NA,0.5218807745988456,0.6444976709873085,0.39432072619907316,0.47878487151113397,36193.23,25901.52,-0.08807748032416346,-0.08861957589896349,2696.72,1687.58,5729.33,3857.86,161945.85791379592,105679.4213605497,0.14605949754140643,0.13742906440364053,16.382220000000004,16.65217000000001,15.96921,1.042776802537158,0.9939381694823999
NA,NA,NA,0.34750522361770614,0.4701997755010817,0.21986487617399642,0.5397613418895926,27659.04,16258.2,-0.1664102106016479,-0.16687066813829962,3602.69,1769.85,8699.46,4776.13,113194.93319669162,58972.732564849204,0.26558506000162185,0.24792534660698906,31.205419999999993,31.827850000000016,30.01152999999999,1.06065092937432,0.9985927179235877
NA,NA,NA,0.1833740131823254,0.2723098446633352,0.09085285970143658,0.6178517396547655,16918.25,7596.54,-0.2685104289942367,-0.2687799320019818,2995.63,1101.5,9974.75,4246.39,59956.8849292001,23379.95664974774,0.417400905571136,0.39532823024318864,49.16465,49.96411,47.117840000000015,1.0607197920433604,1.0015268536989623
NA,NA,NA,0.06179313468673894,0.09964286997489552,0.022416858406749337,0.7180030353618738,7374.1,2363.26,-0.3860627589002626,-0.3858351082171113,1419.68,370.61,7885.42,2445.96,20729.782378128482,5741.652668768119,0.5697605250956936,0.5510639960185045,67.63342999999998,68.48801999999998,64.56111999999999,1.0620923533689126,1.004561152820566
